,author,published_at,comment,like
57,@COPLANETMANAJEMENINDONESIA,2024-07-14T00:46:28Z,Grace tinggal disana duluan ya,0
58,@rohman80rohman,2024-07-14T00:46:16Z,"Air dan listrik dh ada belum ?
Itu pertanyaan junjunganmu... silahkan dijawab",0
59,@zelpenrazeprinaldo6450,2024-07-14T00:45:39Z,"271 T kemana
Membara imigran tiongkok mode",0
60,@Barry-lx3hi,2024-07-14T00:44:31Z,Jadi penjilat juga orang ini,0
61,@anassonny,2024-07-14T00:43:50Z,"Jangan sampe kamu ke kaltim, cuma bikin rusuh",0
62,@indrayudikresna7652,2024-07-14T00:37:39Z,"Tertular akhirnya...
😂😂😂😂😂",0
63,@patiltelu1514,2024-07-14T00:37:22Z,Utang 800T yang hampir jatuh tempo mohon segera dilunasi ya... 😅😅😅,0
64,@ujangbedhul6273,2024-07-14T00:36:11Z,"Jika syarat utk mendapatkan JABATAN dan KEKUASAAN adalah MENJILAT, dapat dipastikan bahwa pemenangnya adalah ANJI*G.",0
65,@deskyamaluddinnur7688,2024-07-14T00:31:26Z,Memuakkan perempuan ini,0
66,@siswoyowiryo,2024-07-14T00:29:34Z,On The End...Game Over,0
67,@Maung-bx6iy,2024-07-14T00:17:56Z,"grace, kalo udah jadi lo kapan pindah kesono😂",0
68,@Robinhoodd728,2024-07-14T00:14:03Z,"Jilat sampai dadas
Terus makan daging
Spy suaranya lebih nyaring",0
69,@putusuantana6436,2024-07-14T00:13:58Z,"Apdit piagam TERLEBAY , Kapan ya mbak lampir",0
70,@d.n.aiditketumpki7354,2024-07-14T00:12:05Z,Preettt jilat nya enak banget,0
71,@lintarraya,2024-07-14T00:09:46Z,pingin lihat ini maghluk jadi jadian tunggak disana....,0
72,@aritulang8906,2024-07-14T00:09:11Z,Aslinya mbak atau omdo....,0
73,@jufriyadi8706,2024-07-13T23:59:03Z,Isinya yg komen orng kecewa semua sejak kalah pemilihan 10 tahun silam,0
74,@Abdullah-e2k7n,2024-07-13T23:55:50Z,"Alhamdulillah, maju terus Bu Greece, jgn perdulikan omongan org2 yg suka nyinyir",1
75,@nawalapatra112,2024-07-14T00:32:58Z,bukannya dia yang tukang nyinyir? sekarang aja udah dapat remahan kue kekuasaan baru jadi kerbau dicocok hidung.,0
76,@chanoeif4345,2024-07-13T23:53:35Z,"ini sih keliatan bgt di paksakan..masa udh masuk bulan juli pertengahan..msh ada tower crane di istana..yg ada di percepat malh ga bagus..jalan tol dan bandara aja msh dlm pengerjaan dan bertahap,apartemen pns jg blm jadi,air ama listrik blm smua ada..jika di paksakan bulan agustus ini tuk upacara sih msh bisa😁 paling msh byk alat2 proyek di sekitar..jd tdk sesuai apa yg di inginkan pleciden di akhir jabatan ny..kaye proyek mandalika jg lamban..",0
77,@bimatanujaya6200,2024-07-13T23:46:30Z,Kamu sangat mengcewakan...dulu kirain partai dan pimpinan nya bisa diandalkan....ternyata sama aja....memuakan...,0
78,@animation93-sk7im,2024-07-13T23:45:31Z,Citra terus,0
79,@sambernyawaku4659,2024-07-13T23:38:59Z,Yuk goyang duluuuuu...,0
80,@wahyudisupriyatno,2024-07-13T23:36:14Z,"On the track ???? On the road ngantor di IKN O'on banget si encik Grace gih dah ngantor bersih-bersih ruang kerja ajak jamaah dan keluarga semua, paling sebulan betah lanjut pulang lagi, cuma Selfi untuk kenangan kunker piknik ke IKN 😅😅😅😢😢😢",0
81,@muhadjir2703,2024-07-14T01:04:45Z,"Persepsi anda sangat benar. Katanya partainya Grace itu partai anak muda yang bersih pemberantas korupsi buktinya preeet, Yo nempel pada orang orang koruptor penjilat.",0
