comment,author,publishedAt,likeCount
"Stop progam lalu minta maaf gak ada. Duit,, benahi perekonomian , apbn membaik progam lanjut lagi.... Dari pada anda paksa , apbn ambyar.... Ekonomi kusut ... Kasihan jubir jubir cari dalil dalil gak masuk akal buat nutup nutupi ketidakmampuan janji kampanye ....yang tentu para tifosi terlanjur menelan mentah mentah janji janji 🎉",@QuickHistory_1,2024-12-03T11:36:03Z,0
😆😆😆😆,@dwitarigan977,2024-12-03T11:14:22Z,0
"Pemimpin yang omongan nya ga bisa di percaya,lalu mau di pilih lagi..?? Orang cerdas tidak akan memilih kembali",@PEJATENTV991,2024-12-03T10:38:21Z,0
"Sebnrnya sdh ada program makanan tambahan di jkt jmn gub anies, mgk di daerah lain jg ada, tp bukan nasi. Diutamakan utk murid paud, tk dan SD. Bisa berupa susu dan 1 snack bergizi ato buah dan sandwich, dll. Itu lbh masuk akal dg dana 10rb/porsi.",@munayaaja5912,2024-12-03T10:18:38Z,0
Bismillah kalo di Jogja 10ribu bolehlah kalo dikota lain embooh...heee,@SumarniSumarni-p1v,2024-12-03T09:11:10Z,0
"Suruh saja,,coba klrga mu,,,blegg mkn klrga mu,,😂😂😂",@syarifuddinudin1992,2024-12-03T08:20:03Z,0
mana cukup pak gizi dengan 10rb pak,@autosonic5499,2024-12-03T08:18:24Z,0
Test K padang 10rb an,@andisiregar927,2024-12-03T08:02:30Z,0
hehehehe ,@antoniuspangestuwidodo3595,2024-12-03T07:44:30Z,0
"Ha3...sdh males ngomongin program ini, klu mungkin turunin sj jadi 5000 mbah!!!!",@azmiganie9810,2024-12-03T07:43:39Z,0
kog susunya tak ada. kampanyenya makan siang plus susu gratis..wah rakyat di prank nih😂,@wirosableng-p5q,2024-12-03T07:41:49Z,0
10.000 ..😀,@mestirahayu6450,2024-12-03T07:37:39Z,0
Di ganti aja makan bubur gratis😅,@Kng_burik.chanel,2024-12-03T07:26:45Z,0
wkekekekek.... bikin program gak dihitung dulu setelah waktunya realisasi malah di permurah.. 10rb dapat tahu tempe sayur.. ini mah menu sehari hari dirumah ana..,@patiangkoro5628,2024-12-03T07:22:51Z,0
"Masib sukur tuh bisa makan. Saudara kita di Papua yang masih sekolah malah jalan kaki ke sekolah dalam keadaan perut kosong bahkan tidak ada uang jajan, saya harap anak-anak seperti ini yang jadi target utama program makan gratis.",@sekararoem8901,2024-12-07T20:23:33Z,0
klu di jawa msh bs dpt nasi dan tempe.tpi indonesia timur uang 10rb cm dpt tempe doang😂,@anjar9814,2024-12-03T07:18:30Z,0
Mudah mudahan nanti tidak ada yg keracunan gara2 dikasih makanan basi,@kacangracing4450,2024-12-03T07:09:24Z,0
Balikpapan 10 rb buat bayar parkir aja🤣,@kacangracing4450,2024-12-03T07:00:15Z,0
Lebih baik di Hapusin aja  program makan gratis 10 ribu dari pemerintah ini  dari pada timbul polemik ribut  protes sana sini dlm masyarakat ...,@BabehR-by9sh,2024-12-03T06:52:52Z,0
MAU KETAWA TAKUT D PENJARA 😂😂😂 JANJI2 SENDIRI PUSING2 SENDIRI SEKALIAN PANGKAS JD 2000 AJA,@NiaBelia,2024-12-03T06:23:42Z,0
Itu 10 rebu belom dipotong pajak lg. Belom minum nya tuh mbak,@WawanKarangtalun,2024-12-03T06:03:20Z,0
"Yg jdi pertanyaan siapa yg menyajikan mkn gratis, apakah umkm/jasa catering ? Soalnya denger2 yg dpet tender usha catering skla besar trus umkmxa dpet apa.?",@ammaroc5225,2024-12-03T06:02:13Z,0
TERNYATA BETUL NILAI YANG DIBERIKAN PAK GANJAR DAN PAK ANIS KE WOWO.... 11 dari 100...😂😊😊😅,@yaminyamank,2024-12-03T05:23:35Z,0
Asal.jangan.dikorupsi.saja.,@syaKirman-o1d,2024-12-03T04:21:37Z,0
Besok2.jadi.lima.ribu.rupiah.,@syaKirman-o1d,2024-12-03T04:18:42Z,0
